날짜,월,사업장,비용항목,금액
2025-05-31,2025-05,부산,마케팅비,6420.0
2025-05-31,2025-05,부산,기타,3741.0
2025-05-31,2025-05,대구,인건비,58158.0
2025-05-31,2025-05,대구,임차료,19353.0
2025-05-31,2025-05,대구,유틸리티,4247.0
2025-05-31,2025-05,대구,운영비,10160.0
2025-05-31,2025-05,대구,마케팅비,10451.0
2025-05-31,2025-05,대구,기타,4361.0
2025-05-31,2025-05,인천,인건비,75170.0
2025-05-31,2025-05,인천,임차료,24902.0
2025-05-31,2025-05,인천,유틸리티,3066.0
2025-05-31,2025-05,인천,운영비,14450.0
2025-05-31,2025-05,인천,마케팅비,5637.0
2025-05-31,2025-05,인천,기타,4462.0
2025-05-31,2025-05,광주,인건비,54255.0
2025-05-31,2025-05,광주,임차료,28518.0
2025-05-31,2025-05,광주,유틸리티,1815.0
2025-05-31,2025-05,광주,운영비,10105.0
2025-05-31,2025-05,광주,마케팅비,10298.0
2025-05-31,2025-05,광주,기타,5707.0
2025-05-31,2025-05,대전,인건비,66483.0
2025-05-31,2025-05,대전,임차료,24135.0
2025-05-31,2025-05,대전,유틸리티,2133.0
2025-05-31,2025-05,대전,운영비,6972.0
2025-05-31,2025-05,대전,마케팅비,6596.0
2025-05-31,2025-05,대전,기타,5205.0
2025-06-30,2025-06,서울,인건비,56704.0
2025-06-30,2025-06,서울,임차료,15490.0
2025-06-30,2025-06,서울,유틸리티,3410.0
2025-06-30,2025-06,서울,운영비,9800.0
2025-06-30,2025-06,서울,마케팅비,7076.0
2025-06-30,2025-06,서울,기타,7643.0
2025-06-30,2025-06,부산,인건비,57132.0
2025-06-30,2025-06,부산,임차료,16147.0
2025-06-30,2025-06,부산,유틸리티,4304.0
2025-06-30,2025-06,부산,운영비,17413.0
2025-06-30,2025-06,부산,마케팅비,6823.0
2025-06-30,2025-06,부산,기타,3780.0
2025-06-30,2025-06,대구,인건비,70321.0
2025-06-30,2025-06,대구,임차료,20228.0
2025-06-30,2025-06,대구,유틸리티,4376.0
2025-06-30,2025-06,대구,운영비,13050.0
2025-06-30,2025-06,대구,마케팅비,5749.0
2025-06-30,2025-06,대구,기타,7571.0
2025-06-30,2025-06,인천,인건비,60018.0
2025-06-30,2025-06,인천,임차료,18213.0
2025-06-30,2025-06,인천,유틸리티,5354.0
2025-06-30,2025-06,인천,운영비,9473.0
2025-06-30,2025-06,인천,마케팅비,3657.0
2025-06-30,2025-06,인천,기타,2140.0
2025-06-30,2025-06,광주,인건비,59469.0
2025-06-30,2025-06,광주,임차료,17220.0
2025-06-30,2025-06,광주,유틸리티,4500.0
2025-06-30,2025-06,광주,운영비,8382.0
2025-06-30,2025-06,광주,마케팅비,6331.0
2025-06-30,2025-06,광주,기타,8919.0
2025-06-30,2025-06,대전,인건비,67334.0
2025-06-30,2025-06,대전,임차료,15742.0
2025-06-30,2025-06,대전,유틸리티,4440.0
2025-06-30,2025-06,대전,운영비,16128.0
2025-06-30,2025-06,대전,마케팅비,11173.0
2025-06-30,2025-06,대전,기타,2404.0
2025-07-30,2025-07,서울,인건비,87000.0
2025-07-30,2025-07,서울,임차료,16371.0
2025-07-30,2025-07,서울,유틸리티,3967.0
2025-07-30,2025-07,서울,운영비,12979.0
2025-07-30,2025-07,서울,마케팅비,6446.0
2025-07-30,2025-07,서울,기타,8101.0
2025-07-30,2025-07,부산,인건비,63002.0
2025-07-30,2025-07,부산,임차료,27225.0
2025-07-30,2025-07,부산,유틸리티,3594.0
2025-07-30,2025-07,부산,운영비,12758.0
2025-07-30,2025-07,부산,마케팅비,9132.0
2025-07-30,2025-07,부산,기타,2278.0
2025-07-30,2025-07,대구,인건비,59331.0
2025-07-30,2025-07,대구,임차료,22415.0
2025-07-30,2025-07,대구,유틸리티,2567.0
2025-07-30,2025-07,대구,운영비,9381.0
2025-07-30,2025-07,대구,마케팅비,4144.0
2025-07-30,2025-07,대구,기타,2039.0
2025-07-30,2025-07,인천,인건비,54064.0
2025-07-30,2025-07,인천,임차료,30619.0
2025-07-30,2025-07,인천,유틸리티,1903.0
2025-07-30,2025-07,인천,운영비,9364.0
2025-07-30,2025-07,인천,마케팅비,7895.0
2025-07-30,2025-07,인천,기타,2598.0
2025-07-30,2025-07,광주,인건비,68134.0
2025-07-30,2025-07,광주,임차료,17946.0
2025-07-30,2025-07,광주,유틸리티,3502.0
2025-07-30,2025-07,광주,운영비,13552.0
2025-07-30,2025-07,광주,마케팅비,9211.0
2025-07-30,2025-07,광주,기타,6569.0
2025-07-30,2025-07,대전,인건비,63051.0
2025-07-30,2025-07,대전,임차료,13301.0
2025-07-30,2025-07,대전,유틸리티,2812.0
2025-07-30,2025-07,대전,운영비,8809.0
2025-07-30,2025-07,대전,마케팅비,6932.0
2025-07-30,2025-07,대전,기타,6301.0
2025-08-29,2025-08,서울,인건비,57367.0
2025-08-29,2025-08,서울,임차료,16296.0
2025-08-29,2025-08,서울,유틸리티,3927.0
2025-08-29,2025-08,서울,운영비,9498.0
2025-08-29,2025-08,서울,마케팅비,2975.0
2025-08-29,2025-08,서울,기타,7708.0
2025-08-29,2025-08,부산,인건비,66514.0
2025-08-29,2025-08,부산,임차료,12870.0
2025-08-29,2025-08,부산,유틸리티,5203.0
2025-08-29,2025-08,부산,운영비,8975.0
2025-08-29,2025-08,부산,마케팅비,4231.0
2025-08-29,2025-08,부산,기타,4960.0
2025-08-29,2025-08,대구,인건비,59031.0
2025-08-29,2025-08,대구,임차료,19583.0
2025-08-29,2025-08,대구,유틸리티,4716.0
2025-08-29,2025-08,대구,운영비,5160.0
2025-08-29,2025-08,대구,마케팅비,6914.0
2025-08-29,2025-08,대구,기타,8346.0
2025-08-29,2025-08,인천,인건비,68636.0
2025-08-29,2025-08,인천,임차료,23764.0
2025-08-29,2025-08,인천,유틸리티,2696.0
2025-08-29,2025-08,인천,운영비,6889.0
2025-08-29,2025-08,인천,마케팅비,9500.0
2025-08-29,2025-08,인천,기타,5855.0
2025-08-29,2025-08,광주,인건비,67883.0
2025-08-29,2025-08,광주,임차료,12523.0
2025-08-29,2025-08,광주,유틸리티,4325.0
2025-08-29,2025-08,광주,운영비,6105.0
2025-08-29,2025-08,광주,마케팅비,3810.0
2025-08-29,2025-08,광주,기타,2635.0
2025-08-29,2025-08,대전,인건비,57169.0
2025-08-29,2025-08,대전,임차료,20689.0
2025-08-29,2025-08,대전,유틸리티,2587.0
2025-08-29,2025-08,대전,운영비,9442.0
2025-08-29,2025-08,대전,마케팅비,9293.0
2025-08-29,2025-08,대전,기타,5875.0
2025-09-28,2025-09,서울,인건비,56036.0
2025-09-28,2025-09,서울,임차료,29071.0
2025-09-28,2025-09,서울,유틸리티,2528.0
2025-09-28,2025-09,서울,운영비,8297.0
2025-09-28,2025-09,서울,마케팅비,7057.0
2025-09-28,2025-09,서울,기타,8090.0
2025-09-28,2025-09,부산,인건비,59676.0
2025-09-28,2025-09,부산,임차료,9724.0
2025-09-28,2025-09,부산,유틸리티,3933.0
2025-09-28,2025-09,부산,운영비,13158.0
2025-09-28,2025-09,부산,마케팅비,8038.0
2025-09-28,2025-09,부산,기타,7432.0
2025-09-28,2025-09,대구,인건비,58330.0
2025-09-28,2025-09,대구,임차료,18769.0
2025-09-28,2025-09,대구,유틸리티,2679.0
2025-09-28,2025-09,대구,운영비,8400.0
2025-09-28,2025-09,대구,마케팅비,5234.0
2025-09-28,2025-09,대구,기타,3972.0
2025-09-28,2025-09,인천,인건비,60520.0
2025-09-28,2025-09,인천,임차료,11829.0
2025-09-28,2025-09,인천,유틸리티,2169.0
2025-09-28,2025-09,인천,운영비,8863.0
2025-09-28,2025-09,인천,마케팅비,6753.0
2025-09-28,2025-09,인천,기타,5512.0
2025-09-28,2025-09,광주,인건비,77476.0
2025-09-28,2025-09,광주,임차료,20648.0
2025-09-28,2025-09,광주,유틸리티,1856.0
2025-09-28,2025-09,광주,운영비,9970.0
2025-09-28,2025-09,광주,마케팅비,3737.0
2025-09-28,2025-09,광주,기타,3197.0
2025-09-28,2025-09,대전,인건비,68572.0
2025-09-28,2025-09,대전,임차료,22902.0
2025-09-28,2025-09,대전,유틸리티,2752.0
2025-09-28,2025-09,대전,운영비,9785.0
2025-09-28,2025-09,대전,마케팅비,10023.0
2025-09-28,2025-09,대전,기타,2054.0
2025-10-28,2025-10,서울,인건비,58538.0
2025-10-28,2025-10,서울,임차료,18589.0
2025-10-28,2025-10,서울,유틸리티,3329.0
2025-10-28,2025-10,서울,운영비,11588.0
2025-10-28,2025-10,서울,마케팅비,8228.0
2025-10-28,2025-10,서울,기타,5918.0
2025-10-28,2025-10,부산,인건비,81618.0
2025-10-28,2025-10,부산,임차료,16764.0
2025-10-28,2025-10,부산,유틸리티,1926.0
2025-10-28,2025-10,부산,운영비,13341.0
2025-10-28,2025-10,부산,마케팅비,3797.0
2025-10-28,2025-10,부산,기타,4033.0
2025-10-28,2025-10,대구,인건비,74786.0
2025-10-28,2025-10,대구,임차료,10716.0
2025-10-28,2025-10,대구,유틸리티,2910.0
2025-10-28,2025-10,대구,운영비,11988.0
2025-10-28,2025-10,대구,마케팅비,3352.0
2025-10-28,2025-10,대구,기타,2139.0
2025-10-28,2025-10,인천,인건비,71792.0
2025-10-28,2025-10,인천,임차료,19548.0
2025-10-28,2025-10,인천,유틸리티,3785.0
2025-10-28,2025-10,인천,운영비,15350.0
2025-10-28,2025-10,인천,마케팅비,6017.0
2025-10-28,2025-10,인천,기타,2606.0
2025-10-28,2025-10,광주,인건비,76848.0
2025-10-28,2025-10,광주,임차료,26963.0
2025-10-28,2025-10,광주,유틸리티,4039.0
2025-10-28,2025-10,광주,운영비,5699.0
2025-10-28,2025-10,광주,마케팅비,6682.0
2025-10-28,2025-10,광주,기타,2440.0
2025-10-28,2025-10,대전,인건비,62622.0
2025-10-28,2025-10,대전,임차료,29300.0
2025-10-28,2025-10,대전,유틸리티,3433.0
2025-10-28,2025-10,대전,운영비,14622.0
2025-10-28,2025-10,대전,마케팅비,6408.0
2025-10-28,2025-10,대전,기타,5609.0
2025-11-27,2025-11,서울,인건비,74888.0
2025-11-27,2025-11,서울,임차료,16879.0
2025-11-27,2025-11,서울,유틸리티,3567.0
2025-11-27,2025-11,서울,운영비,13170.0
2025-11-27,2025-11,서울,마케팅비,4788.0
2025-11-27,2025-11,서울,기타,4322.0
2025-11-27,2025-11,부산,인건비,79479.0
2025-11-27,2025-11,부산,임차료,12823.0
2025-11-27,2025-11,부산,유틸리티,2382.0
2025-11-27,2025-11,부산,운영비,14712.0
2025-11-27,2025-11,부산,마케팅비,9055.0
2025-11-27,2025-11,부산,기타,3120.0
2025-11-27,2025-11,대구,인건비,80223.0
2025-11-27,2025-11,대구,임차료,19197.0
2025-11-27,2025-11,대구,유틸리티,3751.0
2025-11-27,2025-11,대구,운영비,11784.0
2025-11-27,2025-11,대구,마케팅비,7519.0
2025-11-27,2025-11,대구,기타,6671.0
2025-11-27,2025-11,인천,인건비,78306.0
2025-11-27,2025-11,인천,임차료,11570.0
2025-11-27,2025-11,인천,유틸리티,3815.0
2025-11-27,2025-11,인천,운영비,8953.0
2025-11-27,2025-11,인천,마케팅비,6563.0
2025-11-27,2025-11,인천,기타,2868.0
2025-11-27,2025-11,광주,인건비,73608.0
2025-11-27,2025-11,광주,임차료,12135.0
2025-11-27,2025-11,광주,유틸리티,2703.0
2025-11-27,2025-11,광주,운영비,4497.0
2025-11-27,2025-11,광주,마케팅비,4453.0
2025-11-27,2025-11,광주,기타,5849.0
2025-11-27,2025-11,대전,인건비,49942.0
2025-11-27,2025-11,대전,임차료,26473.0
2025-11-27,2025-11,대전,유틸리티,2851.0
2025-11-27,2025-11,대전,운영비,9045.0
2025-11-27,2025-11,대전,마케팅비,7172.0
2025-11-27,2025-11,대전,기타,4192.0
